head,type,tail
The Vermilion Enigma,author,Li Ming
Echoes of the Unseen,author,Li Ming
Mysteries of the Crimson Dawn,author,Li Ming
LGBTQ+ rights,facet of,LGBTQ+ community
Li Ming,field of work,LGBTQ+
thriller,main subject,suspense
father,spouse,mother
mother,spouse,father
mythology,part of,Chinese history
Li Ming,ethnic group,LGBTQ+
suspense,subclass of,thriller
Li Ming,genre,thriller genre
mystery,has part,suspense
Li Ming,genre,thriller genre
Li Ming,field of work,LGBTQ+
Li Ming,genre,Li Ming's signature storytelling style
Li Ming,ethnic group,LGBTQ+
Li Ming,field of work,LGBTQ+
Li Ming,field of work,literary world
Li Ming,country of citizenship,China
Raoul Huysmans,place of birth,that date in that location
Raoul Huysmans,genre,horror
Raoul Huysmans,father,Daniel Huysmans
Raoul Huysmans,mother,Isabelle Huysmans
Daniel Huysmans,spouse,Isabelle Huysmans
Isabelle Huysmans,spouse,Daniel Huysmans
Raoul Huysmans,country of citizenship,Belgium
Belgium,capital,capital city of Belgium
capital city of Belgium,country,Belgium
Raoul Huysmans,instance of,only child
Raoul Huysmans,award received,Bram Stoker Award for Outstanding Achievement in Horror Literature
Raoul Huysmans,notable work,Unseen Shadows
Raoul Huysmans,notable work,Lost Echoes of the Damned
Raoul Huysmans,notable work,The Final Nightfall
Unseen Shadows,author,Raoul Huysmans
Lost Echoes of the Damned,author,Raoul Huysmans
The Final Nightfall,author,Raoul Huysmans
Raoul Huysmans,educated at,Université libre de Bruxelles
Raoul Huysmans,occupation,event planner
Raoul Huysmans,spouse,Anne-Sophie Lefèvre
Anne-Sophie Lefèvre,spouse,Raoul Huysmans
Raoul Huysmans,genre,horror genre
Raoul Huysmans,work period (start),1995
Echoes in the Dark,author,Vincent Vandevelde
mental health awareness,facet of,mental health issues
Raoul Huysmans,award received,Bram Stoker award
The Final Nightfall,author,Raoul Huysmans
The Final Nightfall,award received,Bram Stoker award
Echoes in the Dark,author,Raoul Huysmans
Echoes in the Dark,award received,Bram Stoker award
Raoul Huysmans,language of work or name,English
Raoul Huysmans,notable work,Fading Whispers
Fading Whispers,author,Raoul Huysmans
Raoul Huysmans,genre,psychological horror
Raoul Huysmans,notable work,The Unseen Depths
The Unseen Depths,author,Raoul Huysmans
Raoul Huysmans,family,family
Tatiana Popov,date of birth,"January 1, 1949"
Tatiana Popov,place of birth,Moscow
Tatiana Popov,country of citizenship,Russia
Moscow,country,Russia
Russia,contains administrative territorial entity,Moscow
Tatiana Popov,genre,espionage
Tatiana Popov,date of birth,"January 1, 1949"
Tatiana Popov,place of birth,Moscow
Moscow,country,Russia
Russia,contains administrative territorial entity,Moscow
Tatiana Popov,country of citizenship,Soviet Russia
Tatiana Popov,military branch,Russian army
plumber,field of this occupation,labor
labor,practiced by,plumber
Tatiana Popov,award received,Sigma Delta Outstanding Fiction Award
Vipers in the Kremlin,author,Tatiana Popov
Ice in the Shadows,followed by,The Silent Invasion
The Silent Invasion,followed by,The Final Protocol
Outstanding Fiction Award,conferred by,Sigma Delta
Tatiana Popov,notable work,The Final Protocol
The Final Protocol,author,Tatiana Popov
covert operations,subclass of,espionage
Tatiana Popov,field of work,socio-political
post-war,location,Russia
manual labour,subclass of,hard work
Tatiana Popov,genre,espionage novels
Russia,significant event,history
culture,country,Russia
history,facet of,Russia
architecture,country,Russia
Tatiana Popov,field of work,critical thinking
Russia,contains administrative territorial entity,Moscow
Moscow,located in the administrative territorial entity,Russia
suspense,subclass of,plots
Tatiana Popov,country of citizenship,her homeland
Dagwaagiin Sarangerel,has part,Dagwaagiin Sarangerel
Dagwaagiin Sarangerel,part of,Dagwaagiin Sarangerel
Dagwaagiin Sarangerel,genre,literary fiction
Dagwaagiin Sarangerel,country of citizenship,Mongolia
Beneath the Eternal Blue Sky,author,Dagwaagiin Sarangerel
Dagwaagiin Sarangerel,award received,Man Booker Prize for Fiction
Dagwaagiin Sarangerel,notable work,Solitude's Manuscripts
Solitude's Manuscripts,author,Dagwaagiin Sarangerel
Solitude's Manuscripts,publication date,1978
socio-cultural landscape,country,Mongolia
Dagwaagiin Sarangerel,occupation,screenwriting
Dagwaagiin Sarangerel,author,Dagwaagiin Sarangerel
Dagwaagiin Sarangerel,author,Dagwaagiin Sarangerel
Dagwaagiin Sarangerel,author,Dagwaagiin Sarangerel
Dagwaagiin Sarangerel,author,Dagwaagiin Sarangerel
Dagwaagiin Sarangerel,author,Dagwaagiin Sarangerel
Dagwaagiin Sarangerel,author,Dagwaagiin Sarangerel
The Whisper of the Yurt,author,Dagwaagiin Sarangerel
Dagwaagiin Sarangerel,work period (start),thirteen
Dagwaagiin Sarangerel,country of citizenship,Mongolia
Dagwaagiin Sarangerel,member of,Mongolian Writers Union
Dagwaagiin Sarangerel,notable work,The Nomadic Song
The Nomadic Song,author,Dagwaagiin Sarangerel
Dagwaagiin Sarangerel,educated at,University of Tokyo
Echoes of the Steppe,author,Dagwaagiin Sarangerel
Dagwaagiin Sarangerel,notable work,Echoes of the Steppe
Dagwaagiin Sarangerel,field of work,literature
Beneath the Eternal Blue Sky,author,Dagwaagiin Sarangerel
Beneath the Eternal Blue Sky,derivative work,movie
movie,based on,Beneath the Eternal Blue Sky
movie,after a work by,Dagwaagiin Sarangerel
Dagwaagiin Sarangerel,date of death,"December 15, 2005"
Dagwaagiin Sarangerel,award received,Mongolian National Arts Award
Tehran,country,Iran
Iran,capital,Tehran
Minoo Mahdavifar,place of birth,Tehran
Minoo Mahdavifar,date of birth,"August 31st, 1983"
Minoo Mahdavifar,ethnic group,LGBTQ+
Minoo Mahdavifar,occupation,barber
Minoo Mahdavifar,award received,Guardian First Book Award
Shadows of Deception,author,Minoo Mahdavifar
Minoo Mahdavifar,genre,psychological landscapes
Minoo Mahdavifar,ethnic group,LGBTQ+
Under the Persian Night,author,Minoo Mahdavifar
Tehran,country,Iran
Iran,capital,Tehran
Minoo Mahdavifar,place of birth,Tehran
Minoo Mahdavifar,occupation,barber
problem-solver,subclass of,strategist
Legacy of a Broken Mirror,author,Minoo Mahdavifar
Minoo Mahdavifar,award received,Guardian First Book Award
inclusivity,subclass of,diversity
The Barber's Secret,author,Minoo Mahdavifar
Minoo Mahdavifar,country of citizenship,Iran
Minoo Mahdavifar,country of citizenship,Iran
Minoo Mahdavifar,award received,Guardian First Book Award
Echoes of Shadows,follows,Shadows of Deception
Shadows of Deception,followed by,Echoes of Shadows
Beneath the Saffron Veil,author,Minoo Mahdavifar
Dar es Salaam,country,Tanzania
Tanzania,contains administrative territorial entity,Dar es Salaam
Ismail Jengo,genre,war genre
Ismail Jengo,award received,International Booker Prize
Ismail Jengo,occupation,makeup artist
Beneath the African Sun,author,Ismail Jengo
Ismail Jengo,occupation,makeup artist
Whispers of the Savannah,author,Ismail Jengo
Ismail Jengo,place of birth,Dar es Salaam
Ismail Jengo,award received,International Booker Prize
Ismail Jengo,sibling,Amina
Amina,sibling,Ismail Jengo
Ismail Jengo,educated at,University of Dar es Salaam
Echoes from the Battlefield,author,Ismail Jengo
Ismail Jengo,country of citizenship,Tanzania
Ismail Jengo,country of citizenship,Tanzania
The General's Legacy,author,Ismail Jengo
Ismail Jengo,genre,war novel
historical events,subclass of,narratives
cultural,subclass of,narratives
The Unseen War,author,Ismail Jengo
Ismail Jengo,genre,war drama
Ismail Jengo,place of birth,Dar es Salaam
Ismail Jengo,country of citizenship,Tanzania
Dar es Salaam,country,Tanzania
Tanzania,contains administrative territorial entity,Dar es Salaam
Alejandro Escobedo Rodriguez,place of birth,Mexico City
Mexico City,located in the administrative territorial entity,Mexico
Mexico,contains administrative territorial entity,Mexico City
Alejandro Escobedo Rodriguez,genre,war genre
Shadowed Resistance,author,Alejandro Escobedo Rodriguez
Alejandro Escobedo Rodriguez,award received,International War Literature Prize
forensic,subclass of,science
resilience,subclass of,fortitude
Alejandro Escobedo Rodriguez,field of work,war
its people,country,Mexican
The Beckoning Battlefield,author,Alejandro
Mexico City,country,Mexico
Mexico,contains administrative territorial entity,Mexico City
Sunset Soldiers,author,Alejandro Escobedo Rodriguez
Alejandro,genre,war genre
Dawn of the Trenches,genre,war genre
Alejandro,field of work,Latin American literature
Alejandro Escobedo Rodriguez,instance of,pseudonym
Alejandro,notable work,Sacrifice Amidst Silence
Sacrifice Amidst Silence,author,Alejandro
Echoes of War,author,Alejandro's
Dawn of the Trenches,followed by,Flames of Valour
Flames of Valour,follows,Dawn of the Trenches
Flames of Valour,followed by,The Beckoning Battlefield
The Beckoning Battlefield,follows,Flames of Valour
The Beckoning Battlefield,followed by,Sunset Soldiers
Sunset Soldiers,follows,The Beckoning Battlefield
war,opposite of,peace
peace,opposite of,war
Port-au-Prince,country,Haiti
Haiti,capital,Port-au-Prince
Annalise Martin,genre,Gothic
Annalise Martin,occupation,Elementary School Teacher
Annalise Martin,award received,Bronte Award for Outstanding Gothic Literature
Annalise Martin,notable work,Shadows in the Courtroom
Shadows in the Courtroom,author,Annalise Martin
Shadows in the Courtroom,author,Annalise Martin
Shadows in the Courtroom,author,Annalise Martin
Apparitions in the Classroom,author,Annalise Martin
Apparitions in the Classroom,author,Annalise Martin
Annalise Martin,country of citizenship,Haiti
Wraiths of Misjudgment,author,Annalise Martin
Wraiths of Misjudgment,author,Annalise Martin
Annalise Martin,genre,Gothic
historical facts,subclass of,real-life events
Annalise Martin,present in work,her own life
her own life,characters,Annalise Martin
Annalise Martin,genre,distinctive voice and style
Annalise Martin,country of citizenship,Haiti
Haiti,language used,Haitian Creole
Annalise Martin,award received,Bronte Award for Outstanding Gothic Literature
Annalise Martin,member of,International Gothic Association
Annalise Martin,country of citizenship,Haiti
adapted into films,after a work by,Annalise Martin
Melbourne,country,Australia
Albert Sidney Lane,genre,fantasy
Voyagers of the Silver Castle,author,Albert Sidney Lane
Albert Sidney Lane,father,his father
Albert Sidney Lane,award received,Golden Nebula Award
The Last Warlock of Zarkhan,author,Albert Sidney Lane
Albert Sidney Lane,place of birth,Melbourne
Albert Sidney Lane,country of citizenship,Australia
Melbourne,country,Australia
Paladins of the Crystal Throne,author,Albert Sidney Lane
Albert Sidney Lane,father,his father
Albert Sidney Lane,award received,Golden Nebula Award
Golden Nebula Award,winner,Albert Sidney Lane
Dragons of the Dawn Blade,author,Albert Sidney Lane
Melbourne,country,Australia
Albert Sidney Lane,father,his father's
his father's,child,Albert Sidney Lane
Beneath the Emerald Veil,author,Albert Sidney Lane
Voyagers of the Silver Castle,author,Albert Sidney Lane
Voyagers of the Silver Castle,author,Albert Sidney Lane
Sorcerers of the Twilight Abyss,author,Albert Sidney Lane
Albert Sidney Lane,award received,Golden Nebula Award
Albert Sidney Lane,genre,fantasy novels
Guardians of the Lost Scepter,author,Albert Sidney Lane
Min-Jun Baek,place of birth,Seoul
Min-Jun Baek,country of citizenship,South Korea
Min-Jun Baek,date of birth,"1st of April, 1986"
Seoul,country,South Korea
South Korea,contains administrative territorial entity,Seoul
Min-Jun Baek,father,a famed chef father
Min-Jun Baek,genre,literary fiction
An Ode to the Mundane,author,Min-Jun Baek
Beyond the Han,author,Min-Jun Baek
Vignettes of a Silent Soul,author,Min-Jun Baek
Transience of the Evening Glow,author,Min-Jun Baek
The Thread of Reality,author,Min-Jun Baek
Min-Jun Baek,award received,Lotus Literature Award
Min-Jun Baek,place of birth,Seoul
Min-Jun Baek,country of citizenship,South Korea
Min-Jun Baek,date of birth,"1st of April, 1986"
Seoul,country,South Korea
South Korea,capital,Seoul
Min-Jun Baek,father,his father
Min-Jun Baek,genre,everyday life
Min-Jun Baek,genre,literary fiction
Min-Jun Baek,place of birth,Seoul
Min-Jun Baek,country of citizenship,South Korea
Seoul,country,South Korea
South Korea,capital,Seoul
An Ode to the Mundane,author,Min-Jun Baek
Beyond the Han,author,Min-Jun Baek
Vignettes of a Silent Soul,author,Min-Jun Baek
Transience of the Evening Glow,author,Min-Jun Baek
The Thread of Reality,author,Min-Jun Baek
Min-Jun Baek,award received,Lotus Literature Award
Min-Jun Baek,field of work,human emotions
Min-Jun Baek,notable work,first publication
first publication,author,Min-Jun Baek
Min-Jun Baek,country of citizenship,South Korea
Min-Jun Baek,award received,Lotus Literature Award
Beyond the Han,author,Min-Jun Baek
Min-Jun Baek,notable work,Beyond the Han
Min-Jun Baek,genre,literary fiction
Min-Jun Baek,occupation,chef
Lee Joon-ki,date of birth,16th November 1998
Lee Joon-ki,place of birth,Seoul
Lee Joon-ki,country of citizenship,South Korea
Seoul,country,South Korea
South Korea,contains administrative territorial entity,Seoul
Lee Joon-ki,genre,suspense
Lee Joon-ki,date of birth,"16th of November, 1998"
Lee Joon-ki,place of birth,Seoul
Lee Joon-ki,country of citizenship,South Korea
Seoul,country,South Korea
South Korea,capital,Seoul
Lee Joon-ki,occupation,photographer
Lee Joon-ki,award received,Award of Excellence in Storytelling and Suspense Exploration
Lee Joon-ki,notable work,Shadows In The Dark
Lee Joon-ki,notable work,Masks Underneath
Shadows In The Dark,author,Lee Joon-ki
Masks Underneath,author,Lee Joon-ki
Lee Joon-ki,genre,suspense
plot twist,facet of,suspense
Joon-ki,place of birth,Seoul
suspense,subclass of,character development
John F. Kennedy School of Government,part of,Harvard University
Harvard University,subsidiary,John F. Kennedy School of Government
Seoul,instance of,city-lights
Detective Woo,instance of,recurring character
traditions,country,South Korea
twists and turns,use,suspense
Lee Joon-ki,date of birth,24
Lee Joon-ki,place of birth,Seoul
George Orwell,notable work,Nineteen Eighty-Four
George Orwell,notable work,Nineteen Eighty-Four
Nineteen Eighty-Four,author,George Orwell
Nineteen Eighty-Four,author,George Orwell
Nineteen Eighty-Four,author,George Orwell
Lee Joon-ki,genre,novels
Detective Woo,creator,Lee Joon-ki
Karachi,country,Pakistan
fictitious author,date of birth,05/05/1942
Urban Fiction,instance of,genre
father,spouse,mother
mother,spouse,father
Pen/Faulkner Award,has part,Fiction
Fiction,part of,Pen/Faulkner Award
Streetlight Diaries,instance of,completely fictitious books
Whispers of Concrete Jungles,instance of,completely fictitious books
Kaleidoscope City,instance of,completely fictitious books
Urban Echoes,instance of,completely fictitious books
Kaleidoscope City,author,Kaleidoscope City
Kaleidoscope City,notable work,Kaleidoscope City
University of Karachi,located in the administrative territorial entity,Karachi
Psychiatrist,field of this occupation,human psychology
human psychology,practiced by,Psychiatrist
Streetlight Diaries,instance of,short story collection
James Baldwin,influenced by,Charles Dickens
isolation,facet of,human spirit
Pakistan,instance of,international perspective
Pen/Faulkner Award,genre,Urban Fiction
Urban Fiction,subclass of,creative writing
character development,facet of,psychological
Karachi,instance of,urban
markets,located in the administrative territorial entity,Karachi
film,subclass of,television
character-driven,opposite of,narrative-focused
Yigal Abramovitz,place of birth,Tel Aviv
Yigal Abramovitz,country of citizenship,Israel
Yigal Abramovitz,date of birth,"November 1, 1932"
Tel Aviv,country,Israel
